meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
8th Pan Pacific Championships 1999,22.06,28/08/1999,Men 50 Freestyle LCM Male,RSA,South Africa,"DEDEKIND, Brendon",M,14/02/1976,,,152,157,,Sydney,AUS
European U23 Swimming Championships,22.07,12/08/2023,Men 50 Freestyle LCM Male,GBR,Great Britain,"COHOON, Alexander",M,17/09/2002,,,158,158,850,Dublin,IRL
Russian National Championships (50m),22.07,09/04/2021,Men 50 Freestyle LCM Male,RUS,Russian Federation,"KUZMENKO, Ivan",M,07/04/1995,,,158,159,850,Kazan,RUS
Hancock Prospecting Australian National Championships (50m),22.07,12/04/2019,Men 50 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25/06/1998,,,158,160,850,Adelaide,AUS
Olympic Games Athens 2004,22.07,19/08/2004,Men 50 Freestyle LCM Male,AUS,Australia,"HAWKE, Brett",M,02/06/1975,,,158,161,,Athens,GRE
Russian National Swimming Cup Final,22.08,28/07/2023,Men 50 Freestyle LCM Male,RUS,Russian Federation,"SAMUSENKO, Pavel",M,09/08/2001,,,162,162,849,kazan,RUS
US Olympic Team Trials - Wave II,22.08,19/06/2021,Men 50 Freestyle LCM Male,USA,United States of America,"DAVIS, Will",M,11/02/2000,,,162,163,849,Omaha,USA
US Olympic Team Trials - Wave II,22.08,19/06/2021,Men 50 Freestyle LCM Male,USA,United States of America,"SORENSON, Payton",M,24/11/1993,,,162,164,849,Omaha,USA
Hancock Prospecting Australian Swimming Trials 2021,22.08,17/06/2021,Men 50 Freestyle LCM Male,AUS,Australia,"BELL, Grayson",M,21/03/1997,,,162,165,849,Adelaide,AUS
Aquanaswim 2012,22.08,28/01/2012,Men 50 Freestyle LCM Male,GRE,Greece,"KALARGARIS, Ioannis",M,06/06/1990,,,162,166,849,Banja Luka,BIH
US National Championships TT - (50m),22.08,02/08/2011,Men 50 Freestyle LCM Male,USA,United States of America,"BRUNELLI, Nicholas",M,18/12/1981,,,162,167,849,Palo Alto,USA
European U23 Swimming Championships,22.09,12/08/2023,Men 50 Freestyle LCM Male,LUX,Luxembourg,"FABIANI, Remi",M,13/11/2001,,,168,168,848,Dublin,IRL
European Championships 2022,22.09,16/08/2022,Men 50 Freestyle LCM Male,SRB,Serbia,"BARNA, Andrej",M,06/03/1998,,,168,169,848,Rome,ITA
US National Championships (50m),22.09,29/07/2018,Men 50 Freestyle LCM Male,USA,United States of America,"JACKSON, Tate",M,04/02/1997,,,168,170,848,Irvine,USA
US Olympic Team Trials - Swimming,22.09,01/07/2016,Men 50 Freestyle LCM Male,USA,United States of America,"COPELAND, William",M,21/04/1986,,,168,171,848,Omaha,USA
US Olympic Team Trials,22.09,25/06/2012,Men 50 Freestyle LCM Male,USA,United States of America,"GREVERS, Matt",M,26/03/1985,,,168,172,848,Omaha,USA
Olympic Games Barcelona 1992,22.09,30/07/1992,Men 50 Freestyle LCM Male,USA,United States of America,"BIONDI, Matt",M,08/10/1965,,,168,173,,Barcelona,ESP
Japan National Championships 2023 (50m),22.10,08/04/2023,Men 50 Freestyle LCM Male,JPN,Japan,"KAWANE, Masahiro",M,18/07/1999,,,174,174,847,Tokyo,JPN
British National Swimming Championships (50m),22.10,17/04/2021,Men 50 Freestyle LCM Male,GBR,Great Britain,"LEGARD, Yusuke",M,24/10/1996,,,174,175,847,London,GBR
TYR Pro Championships 2023,22.11,27/07/2023,Men 50 Freestyle LCM Male,CLB,Club,"TOREPE-ORMSBY, Taiko",M,16/08/2003,,,176,176,845,Irvine,USA
Apollo Projects New Zealand National Championships 2023 (50m),22.11,05/04/2023,Men 50 Freestyle LCM Male,NZL,New Zealand,"PICKETT, Michael",M,17/08/2002,,,176,177,845,Auckland,NZL
4th FINA World Junior Swimming Championships 2013,22.11,28/08/2013,Men 50 Freestyle LCM Male,AUS,Australia,"PERCY, Luke",M,25/01/1995,,,176,178,845,Dubai,UAE
US Olympic Team Trials,22.11,25/06/2012,Men 50 Freestyle LCM Male,USA,United States of America,"SCHNUR, Jason Alexander",M,19/12/1990,,,176,179,845,Omaha,USA
Olympic Games Athens 2004,22.11,20/08/2004,Men 50 Freestyle LCM Male,USA,United States of America,"LEZAK, Jason",M,12/11/1975,,,176,180,,Athens,GRE
Olympic Games Sydney 2000,22.11,22/09/2000,Men 50 Freestyle LCM Male,ITA,Italy,"VISMARA, Lorenzo",M,10/08/1975,,,176,181,,Sydney,AUS
World Aquatics Swimming World Cup 2023,22.12,06/10/2023,Men 50 Freestyle LCM Male,HUN,Hungary,"NEMETH, Nandor",M,19/11/1999,,,182,182,844,Berlin,GER
TYR Pro Championships 2023,22.12,27/07/2023,Men 50 Freestyle LCM Male,CLB,Club,"JACK, Jamie",M,19/09/2002,,,182,183,844,Irvine,USA
Phillips 66 National Championships (50m),22.12,01/07/2023,Men 50 Freestyle LCM Male,USA,United States of America,"KIBLER, Drew",M,09/03/2000,,,182,184,844,Indianapolis,USA
Phillips 66 National Championships (50m) 2022,22.12,30/07/2022,Men 50 Freestyle LCM Male,HUN,Hungary,"SZABADOS, Bence",M,29/09/2001,,,182,185,844,Irvine,USA
US Olympic Team Trials - Wave II,22.12,19/06/2021,Men 50 Freestyle LCM Male,USA,United States of America,"FARBER, Sid",M,23/08/1998,,,182,186,844,Omaha,USA
Russian National Championships (50m),22.12,09/04/2021,Men 50 Freestyle LCM Male,KAZ,Kazakhstan,"VARAKIN, Alexandr",M,17/02/1996,,,182,187,844,Kazan,RUS
Rotterdam Qualification Meet 2023,22.13,03/12/2023,Men 50 Freestyle LCM Male,ISR,Israel,"KARTAVI, Martin",M,09/03/2004,,,188,188,843,Rotterdam,NED
19th Pan American Games 2023,22.13,24/10/2023,Men 50 Freestyle LCM Male,BAH,Bahamas,"TAYLOR, Lamar",M,21/06/2003,,,188,189,843,Santiago,CHI
Russian National Championships (50m),22.13,12/04/2019,Men 50 Freestyle LCM Male,RUS,Russian Federation,"GRINEV, Vladislav",M,21/07/1996,,,188,190,843,Moscow,RUS
French National Championships (50m),22.13,27/05/2018,Men 50 Freestyle LCM Male,FRA,France,"GOVINDIN, Yonel",M,20/11/1993,,,188,191,843,Saint Raphael,FRA
17th FINA World Championships 2017,22.13,28/07/2017,Men 50 Freestyle LCM Male,UKR,Ukraine,"SHEVTSOV, Sergii",M,29/06/1998,,,188,192,843,Budapest,HUN
Russian National Swimming Cup,22.13,17/07/2016,Men 50 Freestyle LCM Male,RUS,Russian Federation,"BRIANSKII, Aleksei",M,14/09/1997,,,188,193,843,Ruza,RUS
Polish National Championships (50m),22.13,27/05/2016,Men 50 Freestyle LCM Male,POL,Poland,"WYPYCH, Filip",M,20/04/1991,,,188,194,843,Szczecin,POL
Russian National Championships (50m),22.13,13/05/2014,Men 50 Freestyle LCM Male,RUS,Russian Federation,"TIKHOBAEV, Oleg",M,26/07/1990,,,188,195,843,Moscow,RUS
Russian National Championships (50m),22.13,17/04/2012,Men 50 Freestyle LCM Male,RUS,Russian Federation,"SYRNIKOV, Vitaly",M,10/04/1991,,,188,196,843,Moscow,RUS
Brazilian National Championships (50m),22.13,05/05/2009,Men 50 Freestyle LCM Male,BRA,Brazil,"ROTH SANTOS, Guilherme",M,04/08/1982,,,188,197,,Rio de Janeiro,BRA
Belgian National Championships (50m),22.13,03/05/2009,Men 50 Freestyle LCM Male,BEL,Belgium,"GRANDJEAN, Yoris",M,20/03/1989,,,188,198,,Antwerp,BEL
Phillips 66 National Championships (50m) 2022,22.14,30/07/2022,Men 50 Freestyle LCM Male,USA,United States of America,"DOLAN, Jack",M,22/12/2000,,,199,199,842,Irvine,USA
Egypt National Championships (50m),22.14,10/04/2021,Men 50 Freestyle LCM Male,EGY,Egypt,"SAMEH, Abdelrahman",M,09/03/2000,,,199,200,842,Cairo,EGY
